,PS_F,PS_C,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
8799,2.49,1.592,challenger,favori,0.4004457115679214,0.5995542884320786
8800,3.1,1.408,favori,favori,0.3586010858685795,0.6413989141314205
8801,1.42,3.08,favori,favori,0.3587680099552806,0.6412319900447194
8802,1.3030000000000002,3.8,challenger,favori,0.284831899409959,0.715168100590041
8803,2.54,1.575,challenger,favori,0.4212091922335153,0.5787908077664847
8804,1.806,2.08,favori,favori,0.4269591961302557,0.5730408038697443
8805,2.44,1.625,favori,favori,0.2235808347253856,0.7764191652746144
8806,1.833,2.02,challenger,favori,0.22020744262341108,0.7797925573765889
8807,1.565,2.57,favori,favori,0.3108339891088908,0.6891660108911092
8808,1.143,6.5,favori,favori,0.17123675593681165,0.8287632440631884
8809,1.435,3.0,favori,favori,0.40349808572451307,0.5965019142754869
8810,1.172,5.3,challenger,challenger,0.7059618879500398,0.2940381120499603
8811,1.735,2.2,challenger,challenger,0.5521307244552618,0.44786927554473815
8812,1.676,2.32,favori,favori,0.3305904130245876,0.6694095869754124
8813,2.52,1.588,challenger,challenger,0.5611463863606415,0.4388536136393585
8814,2.69,1.529,challenger,challenger,0.7208513433578687,0.27914865664213123
8815,2.85,1.465,favori,challenger,0.6345983591427073,0.3654016408572926
8816,2.08,1.806,favori,favori,0.24992036943207618,0.7500796305679238
8817,2.49,1.592,challenger,favori,0.35341292688403514,0.6465870731159649
8818,1.581,2.52,favori,favori,0.23399299603171453,0.7660070039682855
8819,1.21,5.01,challenger,favori,0.22044366810218408,0.7795563318978159
8821,2.48,1.602,favori,favori,0.2178544325527122,0.7821455674472878
8822,1.138,6.5,challenger,favori,0.2877255720623414,0.7122744279376586
8823,1.758,2.16,favori,favori,0.23476865067581187,0.7652313493241881
8824,1.2990000000000002,3.89,favori,favori,0.4223654824359776,0.5776345175640224
8825,1.263,4.25,favori,challenger,0.6981273038018566,0.3018726961981434
8826,1.171,5.35,challenger,favori,0.34162155368842784,0.6583784463115722
8827,1.169,5.26,favori,favori,0.41947609306132894,0.5805239069386711
8828,1.274,4.05,challenger,favori,0.4372596407648337,0.5627403592351663
8830,3.44,1.346,challenger,challenger,0.5928704330811553,0.4071295669188447
8832,1.893,1.962,favori,favori,0.4288350756310044,0.5711649243689956
8834,1.641,2.38,favori,favori,0.1887845411052126,0.8112154588947874
