,PS_C,PS_F,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
333,2.72,1.508,favori,favori,0.41771816868385026,0.5822818313161497
334,3.43,1.347,challenger,favori,0.3756373235061574,0.6243626764938426
335,2.05,1.826,favori,favori,0.4142567426434395,0.5857432573565605
336,2.72,1.513,challenger,favori,0.3635621528722671,0.6364378471277329
337,8.3,1.102,favori,favori,0.14666232488891728,0.8533376751110827
338,5.45,1.161,favori,favori,0.1957868192064509,0.8042131807935491
339,4.91,1.219,favori,favori,0.2823832981360921,0.7176167018639079
340,2.5,1.588,challenger,favori,0.3113577777472569,0.6886422222527431
341,5.0,1.19,favori,favori,0.1965585281701081,0.8034414718298919
342,1.763,2.15,favori,challenger,0.5470525494339267,0.45294745056607333
343,2.06,1.82,challenger,favori,0.40344502261007686,0.5965549773899231
344,3.95,1.286,favori,favori,0.3950600989849994,0.6049399010150006
345,3.37,1.355,favori,favori,0.19598208783074278,0.8040179121692572
346,1.917,1.917,favori,challenger,0.5512813253860178,0.44871867461398224
347,1.364,3.35,challenger,challenger,0.6849889058365097,0.3150110941634903
348,3.25,1.385,challenger,favori,0.34635417817331804,0.653645821826682
349,9.0,1.091,favori,favori,0.13874642467556275,0.8612535753244372
350,2.68,1.5319999999999998,favori,favori,0.22573567687848373,0.7742643231215163
351,14.3,1.058,favori,favori,0.08784735182996861,0.9121526481700314
352,1.592,2.49,challenger,challenger,0.5151386390441182,0.4848613609558818
353,1.408,3.1,favori,challenger,0.5262586527142663,0.47374134728573364
354,3.08,1.42,favori,favori,0.25125770139983383,0.7487422986001662
355,3.8,1.3030000000000002,challenger,favori,0.22139825130541935,0.7786017486945807
356,1.575,2.54,challenger,challenger,0.6155710949644401,0.38442890503555993
357,2.08,1.806,favori,favori,0.34469239429683085,0.6553076057031691
358,1.625,2.44,favori,challenger,0.5412172447431927,0.4587827552568074
359,2.02,1.833,challenger,favori,0.45758635506364187,0.5424136449363581
360,2.57,1.565,favori,favori,0.29843075283355536,0.7015692471664446
361,6.5,1.143,favori,favori,0.13646671865961113,0.8635332813403889
362,3.0,1.435,favori,favori,0.1914124527631459,0.8085875472368541
363,5.3,1.172,challenger,favori,0.16817170776365575,0.8318282922363442
364,2.2,1.735,challenger,favori,0.3501949408593267,0.6498050591406733
365,2.32,1.676,favori,favori,0.4857516527956497,0.5142483472043503
366,1.588,2.52,challenger,challenger,0.5389253440158345,0.4610746559841655
367,1.529,2.69,challenger,challenger,0.5362985783203729,0.4637014216796272
368,1.465,2.85,favori,favori,0.4585974908019288,0.5414025091980712
369,1.806,2.08,favori,favori,0.41221713071509614,0.5877828692849039
370,1.592,2.49,challenger,challenger,0.5689435817832338,0.43105641821676616
371,2.52,1.581,favori,favori,0.49265929018311516,0.5073407098168848
372,5.01,1.21,challenger,favori,0.21139171188350248,0.7886082881164975
373,1.602,2.48,favori,challenger,0.5949329049071618,0.4050670950928382
374,6.5,1.138,challenger,favori,0.2823790486558656,0.7176209513441344
375,2.16,1.758,favori,favori,0.43862265897998887,0.5613773410200111
376,3.89,1.2990000000000002,favori,favori,0.10146866714024283,0.8985313328597572
377,4.25,1.263,favori,favori,0.22645294136983363,0.7735470586301664
378,5.35,1.171,challenger,favori,0.10372510090343245,0.8962748990965675
379,5.26,1.169,favori,favori,0.30030480602799337,0.6996951939720066
380,4.05,1.274,challenger,favori,0.36518075793054916,0.6348192420694508
381,1.346,3.44,challenger,challenger,0.5301292503160057,0.46987074968399434
382,1.962,1.893,favori,challenger,0.5116713343912735,0.4883286656087264
383,2.38,1.641,favori,favori,0.38457929708808125,0.6154207029119187
384,2.98,1.4480000000000002,favori,favori,0.1744001987530046,0.8255998012469954
385,1.962,1.893,favori,challenger,0.5498609219221375,0.4501390780778624
386,2.55,1.571,favori,favori,0.22579185269444813,0.7742081473055519
387,2.2,1.725,favori,challenger,0.517838582566049,0.4821614174339511
388,3.18,1.395,challenger,favori,0.18786644364157234,0.8121335563584277
389,1.662,2.35,favori,challenger,0.5702201159841583,0.42977988401584166
390,3.45,1.345,favori,favori,0.23632200066424902,0.763677999335751
391,1.893,1.962,challenger,challenger,0.5127776435890404,0.48722235641095957
392,2.17,1.741,challenger,favori,0.4947115105400214,0.5052884894599786
393,6.65,1.138,favori,favori,0.2163338602980568,0.7836661397019432
394,3.5,1.339,favori,favori,0.2498285835399776,0.7501714164600224
